Órgão;Número do Processo;Modalidade;Objeto;Valor Total/Global;Local de Execução/Entrega;Data Diário Oficial;Protocolo;Início da vigência do contrato;Fim da Vigência do Contrato;Situação
CTBA S/A  ;DM 5/2016;DISPENSA DE LICITAÇÃO - ECONOMIA MISTA;Contratação de  empresa para prestação de serviço de Publicidade Legal - Aviso de Licitação - CP 002/2016, em jornal de grande circulação do Município de Curitiba, em edição do dia 30/03/2016;R$ 666,00;RUA BARAO DO RIO BRANCO 45;07/04/2016;01-039351/2016;;;Autorização de Fornecimento Gerada
CTBA S/A  ;DM 6/2016;DISPENSA DE LICITAÇÃO - ECONOMIA MISTA;Contratação de  empresa para prestação de serviço de Publicidade Legal - Balanço Patrimonial, em jornal de grande circulação do Município de Curitiba, em edição do dia 11/04/2016;R$ 12.000,00;RUA BARAO DO RIO BRANCO 45;07/04/2016;01-039356/2016;;;Autorização de Fornecimento Gerada
CTBA S/A  ;PE 4/2016;PREGÃO ELETRÔNICO;Contratação de empresa para prestação de serviços de confecção e instalação de Portão Automatizado deslizante e aquisição de tinta acrílica fosca, conforme especificações e quantitativos descritos no Anexo I do respectivo Edital, bem como as características mínimas contidas no formulário proposta eletrônica e anexos, partes integrante deste Edital, à disposição no Portal de Compras da Prefeitura Municipal de Curitiba (www.e-compras.curitiba.pr.gov.br).;R$ 4.248,00;RUA NOVA AURORA, N.º 1851;08/04/2016;57-000042/2016;;;Autorização de Fornecimento Gerada
CTBA S/A  ;PE 5/2016;PREGÃO ELETRÔNICO;Prestação de serviços de topografia;R$ 30.000,00;RUA BARAO DO RIO BRANCO 45;08/04/2016;57-000045/2016;06/04/2016;09/05/2017;Parcialmente Empenhado
FMS       ;PE 33/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE ETIQUETA ADESIVA TÉRMICA PARA A SECRETARIA MUNICIPAL DA SAÚDE.;R$ 23.225,00;Rua João Bettega, 3350 - CIC - Almoxarifado SMS;07/04/2016;01-030097/2016;25/05/2016;09/06/2016;Empenhado
URBS      ;CP 6/2016;Concorrência Pública;Contratação de permissionários através de Termo de Outorga e de Permissão de Uso, para adequação, ocupação e exploração dos espaços intitulados.;;CONFORME EDITAL DE EMBASAMENTO;08/04/2016;01-022989/2015;;;Processo Revogado
IMAP      ;PE 5/2016;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE LIMPEZA/CONSERVAÇÃO, NAS DEPENDÊNCIAS DO CENTRO DE EDUCAÇÃO PERMANENTE DO PARQUE BARIGUI, PELO PERÍODO DE 12 (DOZE) MESES, PARA ATENDER AO INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA.;R$ 87.334,90;CONFORME CONTRATO;08/04/2016;57-000036/2016;03/05/2016;01/05/2021;Confirmado Vencedor
FMS       ;PE 34/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MEDICAMENTOS PARA SECRETARIA MUNICIPAL DA SAÚDE.;R$ 55.600,00;Rua João Bettega, 3350 - CIC - Curitiba-Pr - Almoxarifado da SMS;08/04/2016;01-034781/2016;29/04/2016;09/05/2016;Parcialmente Empenhado
SMMA      ;PE 55/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE ALIMENTO PARA CÃES;R$ 11.310,00;RUA LUIZ LEÃO S/N - ADMINISTRAÇÃO DO PASSEIO PÚBLICO;11/04/2016;01-028532/2016;06/05/2016;05/06/2016;Empenhado
FMS       ;PE 35/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE CAIXA DE SUGESTÕES EM ACRÍLICO.;R$ 14.850,00;R. FRANCISCO TORRES, 830 - TÉRREO CENTRO CURITIBA-PR (SETOR OUVIDORIA);11/04/2016;01-030135/2016;29/04/2016;29/05/2016;Empenhado
SME       ;IN 17/2016;Inexigibilidade de Licitação;Serviço: Contratação de curso com o tema: Curso de escrita cientifica com ênfase na produção de artigos.;R$ 4.320,00;Conforme processo original;11/04/2016;01-162965/2015;12/04/2016;07/01/2017;Empenhado
SME       ;IN 18/2016;Inexigibilidade de Licitação;Serviço: Contratação de curso com o tema: Desenvolvimento Infantil: No contexto educacional de creches e pré-escola.;R$ 480,00;Conforme processo original;11/04/2016;01-162965/2015;12/04/2016;07/01/2017;Empenhado
SME       ;IN 19/2016;Inexigibilidade de Licitação;Serviço: Contratação de curso com o tema: Consultoria em letramento literário e literatura infantil.;R$ 1.920,00;Conforme processo original;11/04/2016;01-118809/2015;12/04/2016;07/01/2017;Empenhado
IMAP      ;PE 6/2016;PREGÃO ELETRÔNICO;Prestação de Serviços de Conserto em Aparelhos de Ar Condicionado Split piso teto nº 03 e 04, marca Trane modelo TRAE060, 60.000 BTU's, instalado No Salão de Atos do Parque Barigui.;R$ 7.330,00;CONFORME EMPENHO;12/04/2016;57-000040/2016;05/05/2016;10/05/2016;Empenhado
SME       ;IN 20/2016;Inexigibilidade de Licitação;Serviço: Contratação de curso com o tema: Curso de escrita cientifica com ênfase na produção de artigos.;R$ 4.320,00;Conforme processo original;11/04/2016;01-162955/2015;12/04/2016;07/01/2017;Empenhado
SME       ;IN 21/2016;Inexigibilidade de Licitação;Serviço: Contratação de curso com o tema: Curso de escrita cientifica com ênfase na produção de artigos.;R$ 4.320,00;Conforme processo original;11/04/2016;01-161451/2015;12/04/2016;07/01/2017;Empenhado
SME       ;IN 22/2016;Inexigibilidade de Licitação;Serviço: Contratação de curso com o tema: Curso de escrita cientifica com ênfase na produção de artigos.;R$ 4.320,00;Conforme processo original;11/04/2016;01-162316/2015;12/04/2016;07/01/2017;Empenhado
SME       ;IN 23/2016;Inexigibilidade de Licitação;Serviço: Contratação de curso com o tema: Curso de escrita cientifica com ênfase na produção de artigos.;R$ 4.320,00;Conforme processo original;11/04/2016;01-027831/2016;12/04/2016;07/01/2017;Empenhado
FMS       ;DT 23/2016;Dispensa de Licitação - TCE;AQUISIÇÃO DE CADERNETA DE SAÚDE CRIANÇA CURITIBANA FEMININA E MASCULINA.;R$ 23.878,80;RUA FRANCISCO TORRES N° 830 ANDAR C CONVENÇÕES;11/04/2016;01-036904/2016;12/04/2016;30/06/2016;Empenhado
FMS       ;DT 24/2016;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO DIVALPROATO DE SÓDIO ER, 250MG, COMPRIMIDO;R$ 123,00;RUA FRANCISCO TORRES N° 830, ANDAR C SALA C02;11/04/2016;01-035162/2016;12/04/2016;15/04/2016;Empenhado
IPMC      ;IN 1/2016;Inexigibilidade de Licitação;Inscrição dos 3 novos integrantes do IPMC,no curso de CPA-10 ON-LINE com duração de 3 (três) meses. Para os servidores MARILENA DA LUZ TORQUATO PAUL, HIDETO YOSHIOTA JUNIOR E FELIPE BISCAIA.;R$ 1.410,00;AV. JOÃO GUALBERTO Nº 623 MEZANINO;11/04/2016;08-000928/2016;11/04/2016;21/04/2016;Empenhado
SGM       ;PE 56/2016;PREGÃO ELETRÔNICO;"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE CHAVEIRO COM FORNECIMENTO DE MATERIAL E INSTALAÇÃO".;;Conforme empenho;12/04/2016;01-025095/2016;11/04/2016;11/04/2017;Processo Deserto
ICS       ;PE 26/2016;PREGÃO ELETRÔNICO;MATERIAL ODONTOLÓGICO DE MANUTENÇÃO;;Rua Santo Antonio, 400 - Rebouças;12/04/2016;57-000037/2016;11/04/2016;11/05/2017;Processo Deserto
FMHIS     ;PE 1/2016;PREGÃO ELETRÔNICO;Aquisição de materiais de construção.;R$ 79.073,04;Rua Barão do Rio branco 45;13/04/2016;01-023128/2015;11/04/2016;30/05/2017;Parcialmente Empenhado
IPPUC     ;PE 1/2016;PREGÃO ELETRÔNICO;Referente a aquisição de equipamentos de informática  para substituição dos mesmos danificados por descarga elétrica.;R$ 206.125,93;IPPUC;13/04/2016;01-025638/2016;05/05/2016;04/06/2016;Empenhado
SGM       ;PE 57/2016;PREGÃO ELETRÔNICO;"AQUISIÇÃO DE CARIMBOS AUTOENTINTADOS E BORRACHAS PARA CARIMBOS" pelo Sistema de Registro de Preços pelo período de 12 (doze) meses;;Conforme empenho;13/04/2016;01-025105/2016;12/04/2016;12/04/2017;Processo Fracassado
SGM       ;PE 58/2016;PREGÃO ELETRÔNICO;Prestação de serviços de desobstrução de galerias de águas pluviais e caixas de captaçãoem áreas de abrangência dos Distritos de Manutenção Urbana do Bairro Novo DMU-BN e do CIC  DMU-CIC, da Secretaria do Governo Municipal.;R$ 684.556,08;CONFORME ANEXO XI DO EDITAL DE EMBASAMENTO.;13/04/2016;01-133712/2015;19/05/2016;18/05/2021;Confirmado Vencedor
FMAS      ;PE 4/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE CAPACHOS PERSONALIZADOS - MODALIDADE REGISTRO DE PREÇOS;R$ 11.900,00;conforme recibo de entrega;12/04/2016;01-026629/2016;12/04/2016;10/05/2017;Empenhado
FMS       ;DT 25/2016;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO LUTEÍNA+ZEAXANTINA,3MG + 0,25MG;R$ 444,60;RUA FRANCISCO TORRRES N° 830 ANDAR C, SALA C02;12/04/2016;01-036489/2016;14/04/2016;17/04/2016;Empenhado
SME       ;PE 59/2016;PREGÃO ELETRÔNICO;SERVIÇOS, MANUTENÇÃO DE PALETEIRA HIDRÁULICA PARA A SECRETARIA MUNICIPAL DA EDUCAÇÃO;;R. General Potiguara, 975 B- Novo Mundo - Almoxarifado;13/04/2016;01-026631/2016;;;Processo Deserto
SME       ;PE 60/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE CÂMARA DE AR 350/8 E PNEU 350/8, 4 LONAS PARA PARTICIPAÇÃO EXCLUSIVA DE MICROEMPRESA E EMPRESA DE PEQUENO PORTE PARA ATENDER À SECRETARIA MUNICIPAL DA EDUCAÇÃO.;R$ 974,60;Rua General Potiguara, nº 975 B - ,Amoxarifado /SME - Novo Mundo;13/04/2016;01-026633/2016;17/05/2016;27/05/2016;Empenhado
SME       ;IN 24/2016;Inexigibilidade de Licitação;Contratação de  cursos para capacitação.;R$ 83.600,00;Conforme processo original.;13/04/2016;01-145499/2014;14/04/2016;20/11/2016;Empenhado
FMS       ;DT 26/2016;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO IRBESARTANA 300MG COMPRIMIDO;R$ 308,40;RUA FRANCISCO TORRES N° 830 ANDAR C, SALA C02;12/04/2016;01-036298/2016;14/04/2016;17/04/2016;Empenhado
SGM       ;PE 61/2016;PREGÃO ELETRÔNICO;"AQUISIÇÃO DE MATERIAL DE CONSUMO - CAMA, MESA E BANHO".;R$ 34.436,50;Conforme empenho;18/04/2016;01-162806/2015;12/05/2016;30/06/2016;Parcialmente Empenhado
FMS       ;PE 36/2016;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE SACOS PLÁSTICOS PARA COLETA DE LIXO E SACOLAS PLÁSTICAS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES.;R$ 120.296,00;R JOÃO BETTEGA, 3350 CIDADE INDUSTRIAL CURITIBA-PR;14/04/2016;01-028107/2016;13/04/2016;10/06/2017;Parcialmente Empenhado
FMS       ;PE 37/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE PORTA-REVISTAS PARA A BIBLIOTECA DA SAÚDE.;R$ 1.300,00;RUA ATÍLIO BÓRIO, 680 - CRISTO REI - CURITIBA-PR (CES/SMS);14/04/2016;01-030148/2016;02/05/2016;17/05/2016;Empenhado
SGM       ;PE 62/2016;PREGÃO ELETRÔNICO;"AQUISIÇÃO DE MATERIAIS PARA A BRIQUEDOTECA (PUFF EM COURO SINTÉTICO, COLCHONETE PARA ATIVIDADES, ALMOFADA COLORIDA, TAPETE INFANTIL, GANGORRA CROCODILO E GANGORRA CAVALINHO) ";;Conforme empenho;19/04/2016;01-162809/2015;;;Processo Fracassado
SMOP      ;PE 63/2016;PREGÃO ELETRÔNICO;Contratação de empresa de engenharia elétrica comum para instalação e montagem de luminárias, projetores, postes e dispositivos eletromecânicos em diversos logradouros da planta de iluminação pública de curitiba. lote 1 - instalação e montagem de iluminação pública nas regionais matriz, boa vista, santa felicidade portão e cajurú, prazo de execução: 365 (trezentos e sessenta e cinco) dias.lote 2 - instalação e montagem de iluminação pública nas regionais boqueirão, bairro novo, pinheirinho, tatuquara e cic.prazo de execução: 365 (trezentos e sessenta e cinco) dias, PELO SISTEMA REGISTRO DE PREÇOS PELO PERÍODO DE 12(DOZE) MESES - SMOP. ;R$ 3.001.428,60;Conforme recibo de entrega;15/04/2016;01-073144/2016;13/04/2016;30/06/2017;Empenhado
SME       ;FN 20/2016;Financeiro;Termo de cooperação técnica-  APACN;R$ 0,00;Conforme processo original;13/04/2016;01-071177/2010;02/07/2013;31/03/2018;Confirmado Vencedor
SEPLAD    ;PE 64/2016;PREGÃO ELETRÔNICO;Fita laminada industrial TZES de 18mm rolo de 8 metros- preto no prata para rotuladodor PT 9800PCN BROTHER.;R$ 1.750,00;Rua Solimões, 160 - Patrimônio.;14/04/2016;01-035295/2016;06/05/2016;26/05/2016;Empenhado
ICS       ;PE 27/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE PONTAS DE ULTRASSOM E CHAVES DE APERTO ODONTOLÓGICO.;R$ 14.440,00;RUA SANTO ANTONIO, 400 REBOUÇAS;15/04/2016;57-000039/2016;;;Autorização de Fornecimento Gerada
SMOP      ;PE 65/2016;PREGÃO ELETRÔNICO;Lote 1 - Execução de serviços de reparação de 508 postes republicanos, localizados na Rua XV de Novembro, Jardim Ambiental, Praça Osório, Praça Zacarias, Praça Santos Andrade e outros logradouros listados (Anexo TR II). Prazo de execução: 300 (trezentos) dias. Lote 2 - Execução de serviços de reparação de 456 postes republicanos, incluindo Praça Eufrásio Correa, Praça Generoso Marques, Praça Tiradentes, Praça Rui Barbosa, Praça Nossa Senhora de Salete e outros logradouros listados (Anexo TR II).Prazo de execução: 300 (trezentos) dias.", PELO SISTEMA REGISTRO DE PREÇOS PELO PERÍODO DE 300(trezentos) dias - SMOP.;R$ 3.880.000,00;Conforme recibo de entrega.;18/04/2016;01-061619/2016;14/04/2016;01/04/2017;Empenhado
SMELJ     ;FN 21/2016;Financeiro;Termo de cooperação técnica entre o Municipio de Curitiba e a Associação de maradores das VILAS SÃO FERNANDO E SANTA  MÔNICA Programa -PASE;R$ 0,00;Solimões 160-SMELJ;14/04/2016;01-028400/2016;15/04/2016;14/04/2017;Confirmado Vencedor
